route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
51ca957840814c24a8d449c91217e23a,166530,1088558,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088560,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088562,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088564,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088566,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088568,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088570,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088572,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088574,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088576,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088578,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088580,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088582,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088584,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088586,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166530,1088588,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088593,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088595,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088597,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088599,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088601,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088603,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088605,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088607,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088609,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088611,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088613,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088615,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088617,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088619,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088621,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088623,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088625,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166531,1088627,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088630,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088632,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088634,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088636,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088638,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088640,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088642,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088644,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088646,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088648,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088650,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088652,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088654,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088656,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088658,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088660,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088662,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088664,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166532,1088666,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088670,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088672,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088674,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088676,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088678,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088679,Majaka põik,Priisle - Majaka põik,A>B,9345,1
