fare_id,route_id,origin_id,destination_id
1,748cb45a7228434ca9ff97c559f6f340,32692,154360
3,748cb45a7228434ca9ff97c559f6f340,32272,25823
18,748cb45a7228434ca9ff97c559f6f340,154360,25786
2,748cb45a7228434ca9ff97c559f6f340,21834,25786
37,748cb45a7228434ca9ff97c559f6f340,26619,25994
1,748cb45a7228434ca9ff97c559f6f340,30606,32268
25,748cb45a7228434ca9ff97c559f6f340,154360,30606
39,748cb45a7228434ca9ff97c559f6f340,21834,30606
1,748cb45a7228434ca9ff97c559f6f340,26279,25994
1,748cb45a7228434ca9ff97c559f6f340,32495,32272
1,748cb45a7228434ca9ff97c559f6f340,93570,32692
1,748cb45a7228434ca9ff97c559f6f340,30606,25989
35,748cb45a7228434ca9ff97c559f6f340,106881,32268
1,748cb45a7228434ca9ff97c559f6f340,32570,25994
1,748cb45a7228434ca9ff97c559f6f340,93571,114421
1,748cb45a7228434ca9ff97c559f6f340,154360,21832
22,748cb45a7228434ca9ff97c559f6f340,31912,30631
1,748cb45a7228434ca9ff97c559f6f340,25783,116144
5,748cb45a7228434ca9ff97c559f6f340,154360,31922
29,748cb45a7228434ca9ff97c559f6f340,21834,31922
34,748cb45a7228434ca9ff97c559f6f340,25044,32570
33,748cb45a7228434ca9ff97c559f6f340,32272,106881
1,748cb45a7228434ca9ff97c559f6f340,32329,32495
1,748cb45a7228434ca9ff97c559f6f340,21832,21830
1,748cb45a7228434ca9ff97c559f6f340,21830,30633
10,748cb45a7228434ca9ff97c559f6f340,106881,25989
1,748cb45a7228434ca9ff97c559f6f340,93570,32272
8,748cb45a7228434ca9ff97c559f6f340,32272,139934
11,748cb45a7228434ca9ff97c559f6f340,24964,25994
4,748cb45a7228434ca9ff97c559f6f340,106878,25994
35,748cb45a7228434ca9ff97c559f6f340,30633,24783
1,748cb45a7228434ca9ff97c559f6f340,32495,32692
3,748cb45a7228434ca9ff97c559f6f340,154360,30631
35,748cb45a7228434ca9ff97c559f6f340,21834,30631
10,748cb45a7228434ca9ff97c559f6f340,30633,25192
39,748cb45a7228434ca9ff97c559f6f340,31912,31922
29,748cb45a7228434ca9ff97c559f6f340,21832,24783
4,748cb45a7228434ca9ff97c559f6f340,21832,25192
29,748cb45a7228434ca9ff97c559f6f340,32272,21842
5,748cb45a7228434ca9ff97c559f6f340,24957,152904
1,748cb45a7228434ca9ff97c559f6f340,24964,106879
1,748cb45a7228434ca9ff97c559f6f340,106878,106879
31,748cb45a7228434ca9ff97c559f6f340,26619,31922
1,748cb45a7228434ca9ff97c559f6f340,25823,25044
13,748cb45a7228434ca9ff97c559f6f340,24964,116556
1,748cb45a7228434ca9ff97c559f6f340,106878,116556
32,748cb45a7228434ca9ff97c559f6f340,21830,25823
1,748cb45a7228434ca9ff97c559f6f340,26279,31922
24,748cb45a7228434ca9ff97c559f6f340,24964,25786
17,748cb45a7228434ca9ff97c559f6f340,139934,32268
13,748cb45a7228434ca9ff97c559f6f340,106878,25786
8,748cb45a7228434ca9ff97c559f6f340,26619,30631
34,748cb45a7228434ca9ff97c559f6f340,32329,24957
5,748cb45a7228434ca9ff97c559f6f340,93570,152904
